INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "hi_from_fileobserver"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.302111, acc = 0.1250:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.300327, acc = 0.1289:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.106874, acc = 0.1873:  32%|███▏      | 126/391 [00:04<00:08, 30.96it/s]
Epoch 0 train | loss = 2.106874, acc = 0.1873:  33%|███▎      | 130/391 [00:04<00:08, 31.16it/s]
Epoch 0 train | loss = 2.105013, acc = 0.1885:  33%|███▎      | 130/391 [00:04<00:08, 31.16it/s]
Epoch 0 train | loss = 2.102266, acc = 0.1896:  33%|███▎      | 130/391 [00:04<00:08, 31.16it/s]
Epoch 0 train | loss = 2.100534, acc = 0.1899:  33%|███▎      | 130/391 [00:04<00:08, 31.16it/s]
Epoch 0 train | loss = 2.099296, acc = 0.1906:  33%|███▎      | 130/391 [00:04<00:08, 31.16it/s]
Epoch 0 train | loss = 2.099296, acc = 0.1906:  34%|███▍      | 134/391 [00:04<00:08, 31.29it/s]
Epoch 0 train | loss = 2.098222, acc = 0.1909:  34%|███▍      | 134/391 [00:04<00:08, 31.29it/s]
Epoch 0 train | loss = 2.096398, acc = 0.1916:  34%|███▍      | 134/391 [00:04<00:08, 31.29it/s]
Epoch 0 train | loss = 2.094731, acc = 0.1929:  34%|███▍      | 134/391 [00:04<00:08, 31.29it/s]
Epoch 0 train | loss = 2.093192, acc = 0.1938:  34%|███▍      | 134/391 [00:04<00:08, 31.29it/s]
Epoch 0 train | loss = 2.093192, acc = 0.1938:  35%|███▌      | 138/391 [00:04<00:08, 29.66it/s]
Epoch 0 train | loss = 2.091420, acc = 0.1944:  35%|███▌      | 138/391 [00:04<00:08, 29.66it/s]
Epoch 0 train | loss = 2.089412, acc = 0.1948:  35%|███▌      | 138/391 [00:04<00:08, 29.66it/s]
Epoch 0 train | loss = 2.087856, acc = 0.1956:  35%|███▌      | 138/391 [00:04<00:08, 29.66it/s]
Epoch 0 train | loss = 2.087856, acc = 0.1956:  36%|███▌      | 141/391 [00:04<00:08, 29.46it/s]
Epoch 0 train | loss = 2.086226, acc = 0.1967:  36%|███▌      | 141/391 [00:04<00:08, 29.46it/s]
Epoch 0 train | loss = 2.084597, acc = 0.1977:  36%|███▌      | 141/391 [00:04<00:08, 29.46it/s]
Epoch 0 train | loss = 2.083434, acc = 0.1982:  36%|███▌      | 141/391 [00:04<00:08, 29.46it/s]
Epoch 0 train | loss = 2.082550, acc = 0.1987:  36%|███▌      | 141/391 [00:04<00:08, 29.46it/s]
Epoch 0 train | loss = 2.082550, acc = 0.1987:  37%|███▋      | 145/391 [00:04<00:08, 30.01it/s]
Epoch 0 train | loss = 2.081370, acc = 0.1990:  37%|███▋      | 145/391 [00:04<00:08, 30.01it/s]
Epoch 0 train | loss = 2.080758, acc = 0.1995:  37%|███▋      | 145/391 [00:04<00:08, 30.01it/s]
Epoch 0 train | loss = 2.079535, acc = 0.2001:  37%|███▋      | 145/391 [00:04<00:08, 30.01it/s]
Epoch 0 train | loss = 2.078845, acc = 0.2001:  37%|███▋      | 145/391 [00:04<00:08, 30.01it/s]
Epoch 0 train | loss = 2.078845, acc = 0.2001:  38%|███▊      | 149/391 [00:04<00:07, 30.45it/s]
Epoch 0 train | loss = 2.077922, acc = 0.2003:  38%|███▊      | 149/391 [00:04<00:07, 30.45it/s]
Epoch 0 train | loss = 2.076413, acc = 0.2010:  38%|███▊      | 149/391 [00:04<00:07, 30.45it/s]
Epoch 0 train | loss = 2.074852, acc = 0.2018:  38%|███▊      | 149/391 [00:05<00:07, 30.45it/s]
Epoch 0 train | loss = 2.074120, acc = 0.2020:  38%|███▊      | 149/391 [00:05<00:07, 30.45it/s]
Epoch 0 train | loss = 2.074120, acc = 0.2020:  39%|███▉      | 153/391 [00:05<00:07, 30.78it/s]
Epoch 0 train | loss = 2.072249, acc = 0.2029:  39%|███▉      | 153/391 [00:05<00:07, 30.78it/s]
Epoch 0 train | loss = 2.070281, acc = 0.2033:  39%|███▉      | 153/391 [00:05<00:07, 30.78it/s]
Epoch 0 train | loss = 2.068974, acc = 0.2036:  39%|███▉      | 153/391 [00:05<00:07, 30.78it/s]
Epoch 0 train | loss = 2.067661, acc = 0.2040:  39%|███▉      | 153/391 [00:05<00:07, 30.78it/s]
Epoch 0 train | loss = 2.067661, acc = 0.2040:  40%|████      | 157/391 [00:05<00:07, 30.96it/s]
Epoch 0 train | loss = 2.066086, acc = 0.2046:  40%|████      | 157/391 [00:05<00:07, 30.96it/s]
Epoch 0 train | loss = 2.064735, acc = 0.2053:  40%|████      | 157/391 [00:05<00:07, 30.96it/s]
Epoch 0 train | loss = 2.062925, acc = 0.2058:  40%|████      | 157/391 [00:05<00:07, 30.96it/s]
Epoch 0 train | loss = 2.062151, acc = 0.2066:  40%|████      | 157/391 [00:05<00:07, 30.96it/s]
Epoch 0 train | loss = 2.062151, acc = 0.2066:  41%|████      | 161/391 [00:05<00:07, 31.05it/s]
Epoch 0 train | loss = 2.060765, acc = 0.2075:  41%|████      | 161/391 [00:05<00:07, 31.05it/s]
Epoch 0 train | loss = 2.059742, acc = 0.2079:  41%|████      | 161/391 [00:05<00:07, 31.05it/s]
Epoch 0 train | loss = 2.058598, acc = 0.2082:  41%|████      | 161/391 [00:05<00:07, 31.05it/s]
Epoch 0 train | loss = 2.057280, acc = 0.2092:  41%|████      | 161/391 [00:05<00:07, 31.05it/s]
Epoch 0 train | loss = 2.057280, acc = 0.2092:  42%|████▏     | 165/391 [00:05<00:07, 30.83it/s]
Epoch 0 train | loss = 2.056234, acc = 0.2097:  42%|████▏     | 165/391 [00:05<00:07, 30.83it/s]
Epoch 0 train | loss = 2.055254, acc = 0.2100:  42%|████▏     | 165/391 [00:05<00:07, 30.83it/s]
Epoch 0 train | loss = 2.054054, acc = 0.2103:  42%|████▏     | 165/391 [00:05<00:07, 30.83it/s]
Epoch 0 train | loss = 2.053363, acc = 0.2107:  42%|████▏     | 165/391 [00:05<00:07, 30.83it/s]
Epoch 0 train | loss = 2.053363, acc = 0.2107:  43%|████▎     | 169/391 [00:05<00:07, 31.08it/s]
Epoch 0 train | loss = 2.052121, acc = 0.2109:  43%|████▎     | 169/391 [00:05<00:07, 31.08it/s]
Epoch 0 train | loss = 2.051225, acc = 0.2112:  43%|████▎     | 169/391 [00:05<00:07, 31.08it/s]
Epoch 0 train | loss = 2.050323, acc = 0.2113:  43%|████▎     | 169/391 [00:05<00:07, 31.08it/s]
Epoch 0 train | loss = 2.049812, acc = 0.2118:  43%|████▎     | 169/391 [00:05<00:07, 31.08it/s]
Epoch 0 train | loss = 2.049812, acc = 0.2118:  44%|████▍     | 173/391 [00:05<00:06, 31.19it/s]
Epoch 0 train | loss = 2.048554, acc = 0.2123:  44%|████▍     | 173/391 [00:05<00:06, 31.19it/s]
Epoch 0 train | loss = 2.047854, acc = 0.2131:  44%|████▍     | 173/391 [00:05<00:06, 31.19it/s]
Epoch 0 train | loss = 2.046695, acc = 0.2139:  44%|████▍     | 173/391 [00:05<00:06, 31.19it/s]
Epoch 0 train | loss = 2.045736, acc = 0.2142:  44%|████▍     | 173/391 [00:05<00:06, 31.19it/s]
Epoch 0 train | loss = 2.045736, acc = 0.2142:  45%|████▌     | 177/391 [00:05<00:06, 31.02it/s]
Epoch 0 train | loss = 2.043879, acc = 0.2150:  45%|████▌     | 177/391 [00:05<00:06, 31.02it/s]
Epoch 0 train | loss = 2.042294, acc = 0.2156:  45%|████▌     | 177/391 [00:05<00:06, 31.02it/s]
Epoch 0 train | loss = 2.041010, acc = 0.2159:  45%|████▌     | 177/391 [00:05<00:06, 31.02it/s]
